cod_municipio,municipio,latitud,longitud,altitud,sanidad,educacion,transporte_conectividad,economia_empleo,bienestar,ocio_cultura,servicios,Indice_Global,Descripcion
14,La Acebeda,41.08697,-3.624634,1266.542,0.928053117569997,0.9996721082313583,0.9363305164510092,0.8587278925350574,0.9872766355740654,0.2925202368374652,0.4334871308663608,0.7765810911521875,"La Acebeda es un municipio español de la provincia y Comunidad de Madrid. Cuenta con una población de 67 habitantes (2023).El escudo heráldico y la bandera que representan al municipio fueron aprobados oficialmente el 30 de junio de 1994. El escudo se blasona de la siguiente manera:

 

La descripción textual de la bandera es la siguiente:"
29,Ajalvir,40.53437,-3.481002,680.1722,0.49260125456876347,0.14577710111394204,0.17322094624225023,0.8280360353697349,0.06633248997815822,0.6855700815865317,0.7982102653444648,0.45567831060054925,"Ajalvir es un municipio español ubicado al este de la Comunidad de Madrid, a 26 km de Madrid capital y a 12 km de Alcalá de Henares. Tiene una población de 4721 habitantes (INE 2020) y una extensión de 19,62 km².El nombre de este municipio proviene, según el profesor arabista Jaime Oliver Asín en su libro Historia del nombre Madrid, de fayy al-bi´r, topónimo que significa «camino ancho entre dos montañas» o «paso ancho del pozo»; en las últimas investigaciones el significado de «paso ancho del pozo» cobra más sentido, o también una simbiosis de ambos significados, ya que hacen referencia al viaje de agua o qanat de origen árabe que todavía existe en Ajalvir y discurre por el camino de las aguas, entre el cerro del Arenal y el de la Utrera y dispone de un Pozo Madre."
35,Alameda del Valle,40.9179,-3.843788,1109.934,0.09543013037294329,0.4209257921626445,0.39381765581080697,0.5306538399482277,0.34752976076981,0.2134178971120178,0.9729125668749001,0.42495537757876434,"Alameda del Valle es un municipio y localidad española de la Comunidad de Madrid, en la comarca de la Sierra Norte. El término municipal tiene una población de 255 habitantes (INE 2024).Se encuentra en el noreste de la Comunidad de Madrid, más exactamente en la comarca de la Sierra Norte, muy cerca del puerto de Malagosto.
Está en el valle alto del Lozoya, valle que forman los municipios de Rascafría, Lozoya y Pinilla del Valle, que empieza en la vertiente sur de la sierra de Guadarrama y acaba en la vertiente norte de Los Altos de Hontanar. La zona cuenta con numerosa vegetación: arbolado de ribera, álamos, chopos y fresnos, así como encinas, algunos olmos y zarzas. El río Lozoya atraviesa el municipio, encontrándose la localidad en la margen izquierda de aquél."
40,El Álamo,40.22972,-3.992688,606.2238,0.5674886006693536,0.17747954665968085,0.18698350657930138,0.5529602772995392,0.47780154161540467,0.06546311010049397,0.6993081416311812,0.3896406749364222,"El Álamo es un municipio de España perteneciente a la Comunidad de Madrid. Tiene una población de 10 123 habitantes (2022). La villa de El Álamo limita al sur con la comunidad autónoma de Castilla-La Mancha, está situada al suroeste de la Comunidad de Madrid y se encuentra a 37 kilómetros de la capital. Su término municipal tiene 22,25 kilómetros cuadrados, linda al norte y al oeste con Navalcarnero, al este con Batres y al sur con Casarrubios del Monte, perteneciente este último a la provincia de Toledo. Su altitud media sobre el nivel del mar es de 600 metros, alzándose los 608 metros en el casco urbano de la población.Las tierras que se encuentran alrededor del río Guadarrama fueron conquistadas en 1085 por el rey Alfonso VI de León, siendo expulsado el pueblo árabe por los cristianos de lo que hoy día se conoce como Villaviciosa de Odón (antes Calatalita) y la cuenca del río Alberche.
Con este asentamiento, el pueblo segoviano vio ventajas económicas en ocupar la zona sur de la sierra de Guadarrama. El territorio dónde se sitúa hoy el municipio fue incorporado dentro del sexmo de Casarrubios del Monte a la Comunidad de Villa y Tierra de segovia, estas tierras fueron repobladas por esta ciudad durante la reconquista.
El sexmo de Casarrubios del Monte se desligó de Segovia en el siglo XIV, cuando Alfonso XI de Castilla se lo entregó al noble Alfonso de la Cerda. Durante algo más de un siglo su gobierno pasará por las manos de varias familias de la nobleza castellana. En 1469 Enrique IV concede la villa de Casarrubios a su hermana la entonces, infanta Isabel, futura Reina de España. Durante su reinado, Isabel le cedió las tierras de Casarrubios a Gonzalo Chacón, como premio al servicio prestado a la Corona. Enmarcado en el señorío de Chacón, al borde del camino de Extremadura, se encontraba la Venta de Toribio Fernández Montero. Fue el propio señor quien la rebautizó con el nombre de El Álamo.
La Venta ha sido considerada durante muchos años el núcleo originario de lo que hoy es este municipio. La existencia de este establecimiento se cree ligada a la favorable situación de las tierras del actual municipio en el entramado viario de la España de la Edad Moderna. En ella confluían el Camino Real de Extremadura, importante camino de personas y mercancías; y una vereda merinera que une las Cañadas Reales Riojana y Segoviana. El 25 de abril de 1662 el municipio logró el privilegio de convertirse en villazgo, consiguiendo por primera vez su separación de Casarrubios del Monte. En el siglo XVIII vio gravemente mermada su población, que disminuyó de 635 a 250 habitantes, consecuencia de las acciones bélicas durante la Guerra de Sucesión. El siglo XIX también significará un periodo de agitación por las incursiones de las tropas francesas, primero, y más tarde por las cuadrillas de guerrilleros. La última contienda importante que afectará al municipio será la guerra civil española (1936-1939)."
88,Aldea del Fresno,40.32399,-4.202217,476.7994,0.20643634360951235,0.15651997087777042,0.1604379969592599,0.4026153375633998,0.4929520461830983,0.9011061409722521,0.6916881349815616,0.4302508530209792,"Aldea del Fresno es un municipio y localidad española del suroeste de la Comunidad de Madrid. El término municipal, por el que discurren los ríos Alberche y Perales, cuenta con una población de 3422 habitantes (INE 2024).Las tierras de Aldea del Fresno se encuentran recorridas de norte a sur por el río Alberche, que entra dejando atrás el embalse de Picadas para seguir la dirección sureste. Dicho río sufre un brusco cambio de sentido hacia el suroeste en las proximidades del casco urbano donde recibe al río Perales, perdiéndose por el sur en el límite con Villa del Prado y Santa Cruz del Retamar.
La orografía presenta lomas de escasa altitud tapizadas de frondosa vegetación por el norte, con monte bajo y encinares que se extienden por el resto del término. Este municipio es el más bajo de la Comunidad de Madrid con los 476 metros de altitud que tiene su ayuntamiento.
Se accede a él a través de las carreteras M-507 y M-510, y limita al norte con Chapinería y Navas del Rey; al sur, con Méntrida y Santa Cruz del Retamar; al este con Villamanta y Villamantilla, y al oeste con Villa del Prado y San Martín de Valdeiglesias."
91,Algete,40.59642,-3.497902,712.8972,0.4191485915733951,0.12260902952882531,0.097473340039411,0.9197034853201613,0.5281508400661552,0.08279480380451729,0.7662697930291247,0.41944998333737005,"Algete es un municipio y localidad española de la Comunidad de Madrid, situado a 30 km al noreste de la capital.El nombre de Algete deriva del árabe al-sat 'la orilla, la ribera'."
105,Alpedrete,40.65875,-4.023713,916.7029,0.44202016598897553,0.11149392722653782,0.09231019304536925,0.7926534691096048,0.3908622767247163,0.7115621914859146,0.8232868426941543,0.4805984380393246,"Alpedrete es un municipio y localidad española de la Comunidad de Madrid. El término municipal tiene una población de 15 543 habitantes (INE 2024). En el pasado tuvo importancia económica la extracción de granito de sus canteras.Está situado en el noroeste de la Comunidad de Madrid, en el piedemonte de la sierra de Guadarrama, en la margen izquierda del río Guadarrama.  
Alpedrete forma parte de la llamada Hoya de Villalba y en su parte oriental se halla delimitado por los cerros de Cabeza Mediana, del Telégrafo y del Cañal.
Su altitud es de 919 m y dista unos 43 km​ de la ciudad de Madrid. 
Se trata de una zona amplia y abierta que conecta la sierra con la cuenca sedimentaria. La vegetación que domina la zona son los encinares, las fresnedas y los matorrales silicícolas, con algunas manchas de robledal. El término municipal es de poca extensión, 12,66 km², y colinda con los de Collado Mediano al norte, Moralzarzal al este, Collado Villalba al sureste y Guadarrama al suroeste El perímetro del término municipal mide 16 km.​ 
Alpedrete se encuentra sobre una placa granítica superficial y en una zona de arcillas, lo que dificulta la percolación del agua y favorece la escorrentía y la formación de zonas de acumulación de agua.​ Son varios los arroyos que corren por el municipio, destacando los siguientes: de Los Linos, del Soto, de La Pasada, Tablero, del Cañal y de La Poveda. Todos ellos son tributarios del río Guadarrama. En cuanto a las fuentes, también son numerosas: del Olmo, del Cañal, del Álamo, del Tablero, del Tocón, del Caño, de la Bomba, del Cerbunal, de los Gallegos y del Consuelo.​
Las canteras de la zona suelen encontrarse inundadas en los meses más lluviosos. También hay algunas charcas intermitentes, como la Charca de la Chopera. Numerosas fuentes y pozos (Pozo Nuevo, Zaburdón, de los Sadías) que en otros tiempos abastecían a vecinos y ganados han acabado desapareciendo o se encuentran muy abandonadas​ De sus canteras se extrajo granito para construir, entre otros monumentos, el Monasterio de El Escorial, el Palacio Real de Madrid y el Valle de los Caídos. 
El casco antiguo es de poca extensión, y se ha expandido a través de las llamadas «colonias de hoteles» (Colonia del Carmen, Colonia de San José) y  de las numerosas urbanizaciones construidas sobre los antiguos prados, dehesas y fincas que rodeaban el primigenio pueblo: Las Cerquillas, Los Andes, Prado de la Iglesia, El Prado, Cerca de los Pinos, Mataespesa, Los Berrocales, Las Rocas, Las Huertas, Arcilleros, Valdencina, Los Hórreos, Arroyo de Los Sauces, Peña Redondera, Los Llanos, Deviasa y Los Molinos de Alpedrete, entre otras.
El barrio de Los Negrales, construido sobre un antiguo descansadero de las vías pecuarias, es una zona compartida con el vecino municipio de Collado Villalba. Se halla muy cerca de la Cañada Real de Merinas, entre el arroyo de Los Linos y el río Guadarrama y está atravesado por la antigua carretera nacional N-VI."
112,Ambite,40.3292,-3.181895,667.338,0.7111764935171239,0.30151355346136616,0.2770746943009187,0.45461799366569106,0.6155953245346859,0.10477190982759108,0.6288878477001152,0.4419482595724989,"Ambite es un municipio y localidad española del sureste de la Comunidad de Madrid, contiguo con la provincia de Guadalajara. Pertenece a la comarca natural castellana de La Alcarria, también forma parte de la madrileña comarca de Las Vegas; históricamente ha formado parte de las Tierras de Alcalá, tradicional área de Alcalá de Henares. El pueblo se levanta a orillas del río Tajuña, aprovechando las paredes del valle, lo que le dota de un paisaje singular.​ La población del término municipal es de 697 habitantes (INE 2024).En cuanto al origen de su nombre, la primera referencia se tiene en años posteriores a la reconquista de Alcalá de Henares por parte del arzobispo de Toledo (1118), en plena repoblación de la zona tras la victoria cristiana, en 1124, se cita a la localidad bajo el nombre de Ambith et Balmores.​ El nombre hace referencia a Ambite y Valmores, esta segunda, la aldea de Valmores, despoblada según la leyenda por una supuesta maldición.​
Muy probablemente el nombre de Ambite esté relacionado con otros como Embid (Guadalajara); diversos autores coinciden en su procedencia romana, procediendo ambos del término latino ambitus, con el significado de ‘cercado, rodeado’.
Aludiendo a lo que otros autores afirmarían, dichos términos podrían tener su origen en lenguas prerromanas, observando el término vasco embil, ‘terreno de abundante pasto para caballerías’, así como otros orígenes latinos como antepectus, aludiendo a ‘cuesta o elevación’, similar al catalán ampit.​
A mediados del siglo XVII el nombre del municipio fue Villahermosa de Ambite, dato conocido por la creación de su vizcondado en 1666.​"
127,Anchuelo,40.46549,-3.268585,761.7067,0.10346522557276328,0.1686014518612181,0.15723114222289689,0.6139445595473836,0.10711265548563098,0.06204250052955976,0.9497740903220531,0.30888166079164364,"Anchuelo es un municipio y localidad española de la Comunidad de Madrid. El término municipal tiene una población de 1392 habitantes (INE 2024).Posiblemente la localidad sea de origen romano.​ En la Edad Media, y después de la reconquista cristiana, el pueblo pasó a depender del arzobispado de Toledo, dentro de la Comunidad de villa y tierra de Alcalá, de la que se independizó en el siglo XVI.
A mediados del siglo XIX, el lugar tenía contabilizada una población de 274 habitantes.​ La localidad aparece descrita en el segundo volumen del Diccionario geográfico-estadístico-histórico de España y sus posesiones de Ultramar de Pascual Madoz de la siguiente manera:"
151,Arroyomolinos,40.26884,-3.920291,597.4142,0.478462189346887,0.121282838601024,0.14475094185249146,0.7140743637585654,0.46773767923281206,0.7342795226038207,0.8563143725731744,0.5024145582812536,"Arroyomolinos es un municipio de España situado al suroeste de la Comunidad de Madrid. A fecha de 1 de enero de 2022 su población era de 34 833 habitantes;​ en los últimos años el municipio ha evolucionado de una configuración rural a la típica de una ciudad dormitorio, pues ha experimentado un crecimiento demográfico importante. Su término se encuentra parcialmente incluido en el parque regional del curso medio del río Guadarrama y su entorno.El primer nombre con el que se conoció a Arroyomolinos fue el de Chozas Arroyo de Molinos o Chozas del Arroyo de los Molinos.​ Ambas denominaciones se refieren a los molinos que se levantaban a orillas del Arroyo de Los Combos a su paso por el municipio y de los cuales quedan algunos vestigios."
